team_name,city,season_year,games_played,wins,win_pct,avg_goals_for,avg_shots
Coyotes,Phoenix,2011,98,51,52.0,2.52,29.14
Coyotes,Phoenix,2012,48,21,43.8,2.52,30.9
Coyotes,Phoenix,2013,82,37,45.1,2.56,30.48
Coyotes,Arizona,2014,82,24,29.3,2.01,29.18
Coyotes,Arizona,2015,82,35,42.7,2.54,27.63
Coyotes,Arizona,2016,82,30,36.6,2.33,27.82
Coyotes,Arizona,2017,82,29,35.4,2.51,29.88
Coyotes,Arizona,2018,328,156,47.6,2.55,30.74
Coyotes,Arizona,2019,316,148,46.8,2.68,31.05
Devils,New Jersey,2000,70,48,68.6,3.8,31.27
Devils,New Jersey,2001,73,41,56.2,2.53,29.37
Devils,New Jersey,2002,72,46,63.9,2.68,31.31
Devils,New Jersey,2003,70,43,61.4,2.66,29.41
Devils,New Jersey,2005,82,46,56.1,2.84,29.21
Devils,New Jersey,2006,82,49,59.8,2.51,28.7
Devils,New Jersey,2007,82,46,56.1,2.41,28.8
Devils,New Jersey,2008,82,51,62.2,2.9,32.9
Devils,New Jersey,2009,82,48,58.5,2.63,29.99
Devils,New Jersey,2010,82,38,46.3,2.09,28.59
Devils,New Jersey,2011,106,62,58.5,2.59,27.68
Devils,New Jersey,2012,48,19,39.6,2.29,28.4
Devils,New Jersey,2013,82,35,42.7,2.4,26.83
Devils,New Jersey,2014,82,32,39.0,2.15,24.5
Devils,New Jersey,2015,82,38,46.3,2.22,24.44
Devils,New Jersey,2016,82,28,34.1,2.2,27.79
Devils,New Jersey,2017,87,45,51.7,2.93,31.85
Devils,New Jersey,2018,328,124,37.8,2.67,30.34
Devils,New Jersey,2019,276,112,40.6,2.68,30.68
Ducks,Anaheim,2000,71,25,35.2,2.3,25.89
Ducks,Anaheim,2001,74,29,39.2,2.18,26.05
Ducks,Anaheim,2002,73,40,54.8,2.52,27.18
Ducks,Anaheim,2003,72,29,40.3,2.28,29.63
Ducks,Anaheim,2005,82,43,52.4,3.06,31.52
Ducks,Anaheim,2006,82,48,58.5,3.1,31.49
Ducks,Anaheim,2007,82,47,57.3,2.4,27.33
Ducks,Anaheim,2008,82,42,51.2,2.9,30.26
Ducks,Anaheim,2009,82,39,47.6,2.84,30.15
Ducks,Anaheim,2010,88,49,55.7,2.9,28.38
Ducks,Anaheim,2011,82,34,41.5,2.45,27.95
Ducks,Anaheim,2012,55,33,60.0,2.82,28.58
Ducks,Anaheim,2013,95,61,64.2,3.14,30.71
Ducks,Anaheim,2014,98,62,63.3,2.91,30.89
Ducks,Anaheim,2015,89,49,55.1,2.62,30.17
Ducks,Anaheim,2016,99,56,56.6,2.73,30.37
Ducks,Anaheim,2017,86,44,51.2,2.73,30.33
Ducks,Anaheim,2018,328,140,42.7,2.39,27.7
Ducks,Anaheim,2019,284,116,40.8,2.56,29.66
Flames,Calgary,2000,67,27,40.3,2.43,27.09
Flames,Calgary,2001,70,32,45.7,2.41,26.16
Flames,Calgary,2002,69,29,42.0,2.3,28.13
Flames,Calgary,2003,75,42,56.0,2.41,26.69
Flames,Calgary,2005,82,46,56.1,2.63,28.04
Flames,Calgary,2006,82,43,52.4,3.11,27.34
Flames,Calgary,2007,82,42,51.2,2.76,28.24
Flames,Calgary,2008,82,46,56.1,3.06,32.23
Flames,Calgary,2009,82,40,48.8,2.45,28.67
Flames,Calgary,2010,82,41,50.0,2.94,30.51
Flames,Calgary,2011,82,37,45.1,2.43,27.55
Flames,Calgary,2012,48,19,39.6,2.67,26.94
Flames,Calgary,2013,82,35,42.7,2.46,26.82
Flames,Calgary,2014,93,50,53.8,2.84,27.2
Flames,Calgary,2015,82,35,42.7,2.79,29.24
Flames,Calgary,2016,86,45,52.3,2.69,29.38
Flames,Calgary,2017,82,37,45.1,2.63,33.65
Flames,Calgary,2018,348,204,58.6,3.45,32.41
Flames,Calgary,2019,317,161,50.8,2.95,31.56
Flyers,Philadelphia,2000,71,43,60.6,3.06,29.55
Flyers,Philadelphia,2001,72,42,58.3,2.88,29.43
Flyers,Philadelphia,2002,69,45,65.2,2.71,30.35
Flyers,Philadelphia,2003,67,40,59.7,2.97,28.49
Flyers,Philadelphia,2005,82,45,54.9,3.21,31.12
Flyers,Philadelphia,2006,82,22,26.8,2.6,28.79
Flyers,Philadelphia,2007,82,42,51.2,2.99,28.77
Flyers,Philadelphia,2008,82,44,53.7,3.17,29.77
Flyers,Philadelphia,2009,82,41,50.0,2.83,31.57
Flyers,Philadelphia,2010,93,51,54.8,3.06,32.31
Flyers,Philadelphia,2011,93,52,55.9,3.24,31.61
Flyers,Philadelphia,2012,48,23,47.9,2.75,29.06
Flyers,Philadelphia,2013,89,45,50.6,2.8,29.99
