venue,season_year,home_games,home_wins,home_win_pct,avg_home_goals,avg_away_goals,home_advantage_uplift
Scottrade Center,2015,51,28,54.9,2.59,2.43,4.9
Scottrade Center,2016,45,26,57.78,2.91,2.71,7.78
Canadian Tire Centre,2016,50,28,56.0,2.62,2.4,6.0
Centre Bell,2014,46,28,60.87,2.85,2.35,10.87
Scotiabank Saddledome,2014,46,27,58.7,3.15,2.67,8.7
Joe Louis Arena,2014,44,23,52.27,2.93,2.52,2.27
Wells Fargo Center,2013,44,26,59.09,2.98,2.61,9.09
TD Garden,2012,36,24,66.67,2.94,2.14,16.67
Nassau Coliseum,2012,27,11,40.74,3.0,3.19,-9.26
Bridgestone Arena,2012,24,11,45.83,2.46,2.46,-4.17
BB&T Center,2013,41,16,39.02,2.41,3.0,-10.98
PNC Arena,2013,41,18,43.9,2.54,2.66,-6.1
CONSOL Energy Center,2012,32,23,71.88,3.31,2.22,21.88
Rexall Place,2012,24,9,37.5,2.54,2.96,-12.5
Tampa Bay Times Forum,2012,24,12,50.0,3.42,2.88,0.0
HP Pavilion at San Jose,2011,43,26,60.47,2.98,2.33,10.47
Prudential Center,2011,52,31,59.62,2.85,2.46,9.62
Madison Square Garden,2010,43,21,48.84,3.09,2.49,-1.16
Scottrade Center,2011,46,32,69.57,2.85,1.85,19.57
RBC Center,2010,40,21,52.5,3.1,2.83,2.5
O2 Czech Republic,2010,2,0,0.0,1.0,4.0,-50.0
Scotiabank Place,2010,41,16,39.02,2.29,2.85,-10.98
Centre Bell,2009,41,20,48.78,2.83,2.66,-1.22
Philips Arena,2009,41,19,46.34,2.9,3.02,-3.66
St. Pete Times Forum,2009,41,21,51.22,2.83,2.73,1.22
Joe Louis Arena,2009,40,25,62.5,2.95,2.35,12.5
General Motors Place,2009,41,30,73.17,3.63,2.15,23.17
Fenway Park,2009,1,1,100.0,2.0,1.0,50.0
Wachovia Center,2008,41,24,58.54,3.68,3.05,8.54
HSBC Arena,2008,41,23,56.1,3.12,2.73,6.1
HSBC Arena,2007,40,20,50.0,3.48,3.03,0.0
Wachovia Center,2007,41,21,51.22,3.1,2.83,1.22
Rexall Place,2006,41,19,46.34,2.78,3.1,-3.66
Nassau Coliseum,2006,41,22,53.66,2.9,2.51,3.66
Madison Square Garden,2002,37,17,45.95,2.51,2.7,-4.05
RBC Center,2002,32,12,37.5,2.09,2.66,-12.5
Rexall Place,2003,37,22,59.46,3.11,2.54,9.46
Nassau Coliseum,2003,37,25,67.57,3.32,2.32,17.57
Continental Airlines Arena,2005,41,27,65.85,3.05,2.56,15.85
Joe Louis Arena,2005,41,27,65.85,3.61,2.56,15.85
General Motors Place,2005,41,25,60.98,3.56,3.0,10.98
Philips Arena,2005,41,24,58.54,3.63,3.29,8.54
Centre Bell,2005,41,24,58.54,3.1,2.8,8.54
St. Pete Times Forum,2005,41,25,60.98,3.05,3.12,10.98
Arrowhead Pond,2000,37,15,40.54,2.3,2.97,-9.46
MCI Center,2000,35,24,68.57,3.34,2.46,18.57
FleetCenter,2001,39,23,58.97,3.13,2.56,8.97
American Airlines Center,2001,35,18,51.43,2.51,2.54,1.43
Gaylord Entertainment Center,2001,33,17,51.52,2.52,2.33,1.52
Pengrowth Saddledome,2001,36,20,55.56,2.5,2.42,5.56
PPG Paints Arena,2019,70,46,65.71,3.51,2.63,15.71
PNC Arena,2019,66,38,57.58,3.3,2.7,7.58
BB&T Center,2019,70,34,48.57,3.43,3.31,-1.43
